id,block,scenario,pool,kind,zeroForOne,amount_in,amount_out
1,11156068,0,poincare,arb,0,421085817796896886426,140342240556586889
2,11156068,0,control,arb,0,421085817796896886426,140342240556586889
3,11156068,0,poincare,noise,1,1381500025095897234,4139943482274967285436
4,11156068,0,control,noise,1,1381500025095897234,4139943482274967285436
5,11156069,0,poincare,arb,0,5958019245355161153740,1986988299819786660
6,11156069,0,control,arb,0,5958019245355161153740,1986988299819786660
7,11156069,0,poincare,noise,1,196804946858414876,591180091637027373413
8,11156069,0,control,noise,1,196804946858414876,591180091637027373413
9,11156070,0,poincare,arb,0,2117001172267289630365,704395615738412830
10,11156070,0,control,arb,0,2117001172267289630365,704395615738412830
11,11156070,0,poincare,noise,0,6625604247075981213507,2198153157643985285
12,11156070,0,control,noise,0,6625604247075981213507,2198153157643985285
13,11156071,0,poincare,arb,1,2665891282621356666,8031684381280059163946
14,11156071,0,control,arb,1,2665891282621356666,8031684381280059163946
15,11156071,0,poincare,noise,1,2398852850359955752,7190617524161326075589
16,11156071,0,control,noise,1,2398852850359955752,7190617524161326075589
17,11156072,0,poincare,arb,0,6259436326180331346411,2088850521109588786
18,11156072,0,control,arb,0,6259436326180331346411,2088850521109588786
19,11156072,0,poincare,noise,0,3029326028822466091865,1007797744843224619
20,11156072,0,control,noise,0,3029326028822466091865,1007797744843224619
21,11156073,0,poincare,arb,1,1674124887126283240,5028877577815860717909
22,11156073,0,control,arb,1,1674124887126283240,5028877577815860717909
23,11156073,0,poincare,noise,1,2767129060580039672,8275328290672950015801
24,11156073,0,control,noise,1,2767129060580039672,8275328290672950015801
25,11156074,0,poincare,arb,0,4925792809988146597510,1648942768920720631
26,11156074,0,control,arb,0,4925792809988146597510,1648942768920720631
27,11156074,0,poincare,noise,0,4947975665707939374394,1650918962739574911
28,11156074,0,control,noise,0,4947975665707939374394,1650918962739574911
29,11156075,0,poincare,arb,1,1329052775136762374,3984590087236012770654
30,11156075,0,control,arb,1,1329052775136762374,3984590087236012770654
31,11156075,0,poincare,noise,1,2538304878558474866,7580682417420917081439
32,11156075,0,control,noise,1,2538304878558474866,7580682417420917081439
33,11156076,0,poincare,arb,0,4155813593290355028108,1393118676716981889
34,11156076,0,control,arb,0,4155813593290355028108,1393118676716981889
35,11156076,0,poincare,noise,1,2394443944386511744,7135747806944498056067
36,11156076,0,control,noise,1,2394443944386511744,7135747806944498056067
37,11156077,0,poincare,arb,0,3547590151226781939448,1191844182392196696
38,11156077,0,control,arb,0,3547590151226781939448,1191844182392196696
39,11156077,0,poincare,noise,1,510166833952361774,1519570997111676235332
40,11156077,0,control,noise,1,510166833952361774,1519570997111676235332
41,11156078,0,poincare,arb,1,392809270344837070,1168960468440760103776
42,11156078,0,control,arb,1,392809270344837070,1168960468440760103776
43,11156078,0,poincare,noise,0,6875810775813939945723,2306095474337385353
44,11156078,0,control,noise,0,6875810775813939945723,2306095474337385353
45,11156079,0,poincare,arb,1,2098971212119136694,6259544014114811777645
46,11156079,0,control,arb,1,2098971212119136694,6259544014114811777645
47,11156079,0,poincare,noise,1,1870655655823344028,5556646935713217353648
48,11156079,0,control,noise,1,1870655655823344028,5556646935713217353648
49,11156080,0,poincare,arb,0,3793554842127054454080,1277861404806778414
50,11156080,0,control,arb,0,3793554842127054454080,1277861404806778414
51,11156080,0,poincare,noise,0,3119950871413256055433,1048526879534059170
52,11156080,0,control,noise,0,3119950871413256055433,1048526879534059170
53,11156081,0,poincare,arb,0,973221209932955768900,326624305084163051
54,11156081,0,control,arb,0,973221209932955768900,326624305084163051
55,11156081,0,poincare,noise,1,1871940357930740528,5569123600541008363776
56,11156081,0,control,noise,1,1871940357930740528,5569123600541008363776
57,11156082,0,poincare,arb,0,2177344899253231724159,732698434983376282
58,11156082,0,control,arb,0,2177344899253231724159,732698434983376282
59,11156082,0,poincare,noise,1,325705247640450466,968283676062073153370
60,11156082,0,control,noise,1,325705247640450466,968283676062073153370
61,11156083,0,poincare,arb,0,4904204401497549516914,1647474883138003112
62,11156083,0,control,arb,0,4904204401497549516914,1647474883138003112
63,11156083,0,poincare,noise,0,1735089894235754248363,581577539092559199
64,11156083,0,control,noise,0,1735089894235754248363,581577539092559199
65,11156084,0,poincare,arb,1,147633771275398478,440644133749189594193
66,11156084,0,control,arb,1,147633771275398478,440644133749189594193
67,11156084,0,poincare,noise,0,4589626769740722347075,1535583331487978680
68,11156084,0,control,noise,0,4589626769740722347075,1535583331487978680
69,11156085,0,poincare,arb,1,2540506052642644730,7585586163771799598680
70,11156085,0,control,arb,1,2540506052642644730,7585586163771799598680
71,11156085,0,poincare,noise,1,2871380431000178022,8527430578946578877753
72,11156085,0,control,noise,1,2871380431000178022,8527430578946578877753
73,11156086,0,poincare,arb,0,11008995913021497783983,3703905126664359511
74,11156086,0,control,arb,0,11008995913021497783983,3703905126664359511
75,11156086,0,poincare,noise,1,1834511182602490178,5462803612102491360826
76,11156086,0,control,noise,1,1834511182602490178,5462803612102491360826
77,11156087,0,poincare,arb,0,2988715984341778330016,1004497211837326987
78,11156087,0,control,arb,0,2988715984341778330016,1004497211837326987
79,11156087,0,poincare,noise,1,1669983880623947848,4965472744228804901546
80,11156087,0,control,noise,1,1669983880623947848,4965472744228804901546
81,11156088,0,poincare,arb,0,2769773096012566807443,932212671014326581
82,11156088,0,control,arb,0,2769773096012566807443,932212671014326581
83,11156088,0,poincare,noise,1,841128933479066848,2499373225956732653862
84,11156088,0,control,noise,1,841128933479066848,2499373225956732653862
85,11156089,0,poincare,arb,0,475915940304206848714,160271394663035623
86,11156089,0,control,arb,0,475915940304206848714,160271394663035623
87,11156089,0,poincare,noise,1,1972171775296232712,5845704546806114409298
88,11156089,0,control,noise,1,1972171775296232712,5845704546806114409298
89,11156090,0,poincare,arb,0,3305841431235243571635,1116245172993860261
90,11156090,0,control,arb,0,3305841431235243571635,1116245172993860261
91,11156090,0,poincare,noise,0,2131082251300874745049,718266986534011804
