bar,price,hodl,lp5,lp30,lpLive,lpProp,arb5,arb30,arbLive,arbProp,kLive,kProp
0,1308009999999999934464,2000000000000000064852443,2000001574741000518232751,2000002168730666447854647,2000000000000000064853029,2000000000000000064853029,1919548172754548528,0,3992015968063742809,3992015968063742809,0,0
12,1350829999999999803392,2032736752777119628953807,2032521695366784875668260,2032671618709336279571994,2032525292048758734290609,2032590574921172126168447,638700271253578756260,427286748443450925304,394070930439382004208,304772597713063569768,0,34007168234535026
24,1287890000000000196608,1984617854603558721522983,1984678897483300397718652,1985108991593160608682751,1984952970035912630784005,1985049546805365849384827,2872951709091803953312,2323848938963772860422,2287431993136132554836,1885488067293445297197,0,0
36,1329339999999999868928,2016307214776645417618064,2016396672930513073667822,2016912515942985676271255,2016753997216208764917584,2016852119724731040280848,3151525238328277697477,2545504996863489772013,2509069585993257579996,2107137089943344885925,0,0
48,1388310000000000065536,2061390967958961919461590,2060672412154852184590229,2061323752915867623578751,2061161271404144888044896,2061265389030674910252569,3712157986975975339780,3021769123872903201549,2985391113492881567396,2578463061465566288147,50000000000000000,35531604094082956
60,1539109999999999803392,2176680606417382176258327,2169794746931722460283232,2170844540963956928954378,2170673428765022505740667,2170746699238376181050613,10700294890765772288400,9757994741110188022288,9721091143758838456112,9259410105681884665969,78070040652362773,39035020296375266
72,1692660000000000131072,2294072675285358440129275,2275509733320433540669803,2276782937224083738951772,2278158549562747709883449,2278096879723546134312153,11791889267573167652837,10537823103528323261289,10318742289742983298015,9693208173772192648130,52241943041402166,49438002074954936
84,1665520000000000000000,2273323598443439009645759,2257253351015312742438303,2258723442737985893798316,2260572469331513015304157,2260486013206774392434014,13281035859596451000356,11786546198824813725123,10978895725435317294221,10268306283277457546377,0,3289116500591566
96,1818349999999999803392,2390165212804184133215024,2358600957933348915587876,2360334888029064644468334,2363225075797533437694266,2363352621358941301643066,14168331922968725714676,12485003615883419887339,11216292034893435790246,10545915552224872972067,99067482822717806,48826868682506563
108,1784800000000000000000,2364515561807632556440120,2336793702915047490806718,2338666347765420249321875,2340841141439174623072552,2341368493553004934214664,14881931364112682175693,12904002013621697124660,11327061265890771645344,10650772016151804845594,76314607213319440,21847498687213886
