id,block,pool,kind,zeroForOne,amount_in,amount_out
1,11156302,poincare,arb,0,5415073665171444067678,1816184967083349507
2,11156302,control,arb,0,5415073665171444067678,1816184967083349507
3,11156302,poincare,noise,1,1000797764446626540,2986378715262897088391
4,11156302,control,noise,1,1000797764446626540,2986378715262897088391
5,11156303,poincare,arb,1,1873799561093578034,5575358423022068134143
6,11156303,control,arb,1,1873799561093578034,5575358423022068134143
7,11156303,poincare,noise,1,2291175115311312230,6788931143668797674568
8,11156303,control,noise,1,2291175115311312230,6788931143668797674568
9,11156304,poincare,arb,0,7424535291994758954837,2505147588871656120
10,11156304,control,arb,0,7424535291994758954837,2505147588871656120
11,11156304,poincare,noise,0,3750853296382606294120,1260842861122631167
12,11156304,control,noise,0,3750853296382606294120,1260842861122631167
13,11156305,poincare,arb,1,1796875013936023964,5342621987274199335138
14,11156305,control,arb,1,1796875013936023964,5342621987274199335138
15,11156305,poincare,noise,0,7909385267211013794244,2657858864799328990
16,11156305,control,noise,0,7909385267211013794244,2657858864799328990
17,11156306,poincare,arb,1,1625333072361453885,4841737282393290794953
18,11156306,control,arb,1,1625333072361453885,4841737282393290794953
19,11156306,poincare,noise,1,2678236993432888982,7944022502805890760154
20,11156306,control,noise,1,2678236993432888982,7944022502805890760154
21,11156307,poincare,arb,0,20417223077999463886228,6854696563058173253
22,11156307,control,arb,0,20417223077999463886228,6854696563058173253
23,11156307,poincare,noise,1,1984200757140434566,5938927651290799490524
24,11156307,control,noise,1,1984200757140434566,5938927651290799490524
25,11156308,poincare,arb,1,762455986413145574,2275838330934782549848
26,11156308,control,arb,1,762455986413145574,2275838330934782549848
27,11156308,poincare,noise,1,1743705989312240944,5191714854970720942597
28,11156308,control,noise,1,1743705989312240944,5191714854970720942597
29,11156309,poincare,arb,1,801295382546989831,2379716065458448422454
30,11156309,control,arb,1,801295382546989831,2379716065458448422454
31,11156309,poincare,noise,0,1846413817565668282644,621833936183692233
32,11156309,control,noise,0,1846413817565668282644,621833936183692233
33,11156310,poincare,arb,1,523978616948140823,1556003695290870984681
34,11156310,control,arb,1,523978616948140823,1556003695290870984681
35,11156310,poincare,noise,0,7747398446350371738034,2603487719279947895
36,11156310,control,noise,0,7747398446350371738034,2603487719279947895
37,11156311,poincare,arb,1,1231478223801428703,3669632277503154245488
38,11156311,control,arb,1,1231478223801428703,3669632277503154245488
39,11156311,poincare,noise,1,1312859705486829286,3902196855431311740411
40,11156311,control,noise,1,1312859705486829286,3902196855431311740411
41,11156312,poincare,arb,0,2907037163117507119753,978374151442316974
42,11156312,control,arb,0,2907037163117507119753,978374151442316974
43,11156312,poincare,noise,0,332603367376724334765,111817022676448637
44,11156312,control,noise,0,332603367376724334765,111817022676448637
45,11156313,poincare,arb,0,5368803655683435187690,1801471310910921161
46,11156313,control,arb,0,5368803655683435187690,1801471310910921161
47,11156313,poincare,noise,0,6191051448839617724410,2069332484827582226
48,11156313,control,noise,0,6191051448839617724410,2069332484827582226
49,11156314,poincare,arb,1,1853708632675169642,5547143657249848883300
50,11156314,control,arb,1,1853708632675169642,5547143657249848883300
51,11156314,poincare,noise,1,371115866910453244,1108074017014475970390
52,11156314,control,noise,1,371115866910453244,1108074017014475970390
53,11156315,poincare,arb,0,3697275788468102521364,1237216244039875667
54,11156315,control,arb,0,3697275788468102521364,1237216244039875667
55,11156315,poincare,noise,0,508245342350294089541,169834060517762504
56,11156315,control,noise,0,508245342350294089541,169834060517762504
57,11156316,poincare,arb,0,4080943184874076601748,1361584367365805527
58,11156316,control,arb,0,4080943184874076601748,1361584367365805527
59,11156316,poincare,noise,0,6530121922294240903327,2171020929377246246
