block,phase,fair,price_on,price_off,kappa,trend,d,lp_on,lp_off,cum_lvr_on,cum_lvr_off,cum_noise_on,lp_vf,cum_lvr_vf,cum_noise_vf
1,0,4714550000000000065536,4705171930449345552416,4705171930449345552416,0,0,0,9473818675447014073868494,9473818675447014073868494,106019664519504760386,106019664519504760386,0,9473818675447014073868494,106019664519504760386,0
2,0,4722720000000000000000,4701235907722452568130,4701235907722452568130,0,2,1000000000000000000,9482043810245358375887317,9482043810245358375887317,122444516503467880570,122444516503467880570,0,9482045723544800536738298,121584234954137980749,1053017892830951160
3,0,4657260000000000131072,4668899397591318547062,4668899397591318547062,0,2,1000000000000000000,9416083697882330245893140,9416083697882330245893140,226404136741495066329,226404136741495066329,0,9416088117095085326299281,223556751575016147233,1583751655710935652
4,0,4640649999999999410176,4665105732652068464961,4665105732652068464961,0,2,1000000000000000000,9399302725727481655837496,9399302725727481655837496,269678252436222672257,269678252436222672257,0,9399310733149721043707351,264907690651910492017,3254066296781119951
5,0,4669520000000000524288,4644843297413792083341,4644843297413792083341,0,2,1000000000000000000,9428494978718414931061320,9428494978718414931061320,270732480013074230201,270732480013074230201,0,9428504800450441860344301,265689935132478723748,4772285739300741350
6,0,4666779999999999606784,4648495277525042666738,4648495277525042666738,0,2,1000000000000000000,9425713406414149948884380,9425713406414149948884380,296888827844794087072,296888827844794087072,0,9425726091128378410732029,290282259768419615489,6073760694615034830
7,0,4654100000000000393216,4638091157769215510039,4638091157769215510039,0,2,894011040801775110,9412895338440275032487595,9412895338440275032487595,298597240107006521526,298597240107006521526,0,9412909386075315389078273,291632627404841458264,7096222200517289280
8,0,4638220000000000131072,4643919802503797757631,4643919802503797757631,0,2,910007090709205305,9396810830330174408003505,9396810830330174408003505,298598146499420542125,298598146499420542125,0,9396825140966886898625777,291632627404841458264,7381149798323213192
9,0,4584550000000000065536,4608070276595802268099,4608070276595802268099,0,2,737128472568376787,9342315039704726913424603,9342315039704726913424603,491932214800887357122,491932214800887357122,0,9342334285854134020794551,480609163812318090762,8794715568452199971
10,0,4618160000000000000000,4606238381777212153756,4606238381777212153756,0,2,841363743061057447,9376474576654083077863538,9376474576654083077863538,497539072751122667855,497539072751122667855,0,9376495744010084466917250,485362970697983269769,9800067847032505666
11,0,4606439999999999737856,4607453640026140755461,4607453640026140755461,0,2,845071997264608072,9364561411648896576922467,9364561411648896576922467,497541315316889569524,497541315316889569524,0,9364582606509240413727284,485362970697983269769,9851992843901520215
12,0,4638310000000000589824,4657319493553495818760,4657319493553495818760,0,2,812011739914660796,9396919875029869627758422,9396919875029869627758422,549872679834734929589,549872679834734929589,0,9396944319783963411460322,536417089229190321780,11042814911184897846
