block,scenario,fair,price_on,price_off,kappa,trend,d,lp_on,lp_off,cum_lvr_on,cum_lvr_off,cum_noise_on
1,0,3000842230740015777000,2992566894638486741631,2992566894638486741631,0,0,0,6000847891770394986521647,6000847891770394986521647,59104421983226940,59104421983226940,0
2,0,3004479994443282606840,3003296868259476419391,3003296868259476419391,0,0,1000000000000000000,6004478439595760734994410,6004478439595760734994410,11906455068242251822,11906455068242251822,0
3,0,3007534690354495189684,3020817161915934942899,3020817161915934942899,0,0,286588705377976750,6007544547693764128102825,6007544547693764128102825,13399532867844030636,13399532867844030636,0
4,0,3004719659861650989371,2990344351829554185629,2990344351829554185629,0,1,690740641050502431,6004735067851036942249456,6004735067851036942249456,34827966201719905775,34827966201719905775,0
5,0,3002856122121375961250,3008920716473340407860,3008920716473340407860,0,1,243281771724083018,6002858497059504433359088,6002858497059504433359088,47909215531743718213,47909215531743718213,0
6,0,2998856448557257814441,2982331773717214255840,2982331773717214255840,0,1,125551918709889524,5998879234097295460278122,5998879234097295460278122,56326579898758575873,56326579898758575873,0
7,0,2992162394302273473853,3002053571240044363340,3002053571240044363340,0,1,265059799323072973,5992165426628646231676940,5992165426628646231676940,64438313431855876767,64438313431855876767,0
8,0,2994086956305032504714,2978959696057429299802,2978959696057429299802,0,1,43165774028856628,5994103262866828459873000,5994103262866828459873000,69728822389883010459,69728822389883010459,0
9,0,2987247882361526773364,2973023723980138269221,2973023723980138269221,0,1,231175211281194419,5987251351903328384210725,5987251351903328384210725,75506046000624543805,75506046000624543805,0
10,0,2980091127120752724265,2977062855926830460392,2977062855926830460392,0,1,291346254134074802,5980058759454636504906590,5980058759454636504906590,79720167631316044068,79720167631316044068,0
11,0,2974734345166789598942,2988443695917519169895,2988443695917519169895,0,1,210724882365015243,5974696713230499409638867,5974696713230499409638867,80177408477382821625,80177408477382821625,0
12,0,2975961804183408825399,2964903415891435877734,2964903415891435877734,0,1,7049908228940407,5975923810233625564501422,5975923810233625564501422,93263267245092055911,93263267245092055911,0
13,0,2972450811758426515639,2978665241415387509222,2978665241415387509222,0,1,313068549746972016,5972390529498848231288303,5972390529498848231288303,98088595150709369539,98088595150709369539,0
14,0,2980605066059541170010,2969513219879688302343,2969513219879688302343,0,1,65220221572713846,5980584008678017610601006,5980584008678017610601006,98405443649787140098,98405443649787140098,0
15,0,2973847306708174009182,2971919511432838832493,2971919511432838832493,0,1,191917719287563669,5973790373959187588985025,5973790373959187588985025,99993811901163115172,99993811901163115172,0
16,0,2981689925234294307011,2985150502451900035265,2985150502451900035265,0,1,141032633966381473,5981662907417825258934759,5981662907417825258934759,108048671532743847989,108048671532743847989,0
17,0,2984271462727219121132,2993433643497211053043,2993433643497211053043,0,1,117296041234004363,5984257822188559027720546,5984257822188559027720546,108113554729964320213,108113554729964320213,0
18,0,2978298263858340217429,2961329440371683949959,2961329440371683949959,0,1,249740209302684904,5978283270919133381179509,5978283270919133381179509,127314952594570042203,127314952594570042203,0
19,0,2983245463240577766076,2972360355055043426592,2972360355055043426592,0,1,277543327460715689,5983231998364365649614403,5983231998364365649614403,167977204968040314342,167977204968040314342,0
